"date","PRCP","SNOW","TMAX","TMIN"
"2017-01-01T00:00:00Z",0.31496062992126,0.78740157480315,35.06,21.02
"2017-01-02T00:00:00Z",0.118110236220472,0.118110236220472,28.94,21.02
"2017-01-03T00:00:00Z",0,0,23,6.98
"2017-01-04T00:00:00Z",0,0,21.92,3.92
"2017-01-05T00:00:00Z",0,0,28.94,8.96
"2017-01-06T00:00:00Z",0,0,35.06,12.92
"2017-01-07T00:00:00Z",0,0,39.02,17.06
"2017-01-08T00:00:00Z",6.49606299212598,0.708661417322835,39.92,32
"2017-01-09T00:00:00Z",0.590551181102362,0.31496062992126,44.06,30.92
"2017-01-10T00:00:00Z",0,0,46.94,26.96
"2017-01-11T00:00:00Z",0,0,53.06,30.02
"2017-01-12T00:00:00Z",0,0,48.02,30.02
"2017-01-13T00:00:00Z",0,0,44.96,33.08
"2017-01-14T00:00:00Z",0,0,37.94,24.98
"2017-01-15T00:00:00Z",0,0,35.96,19.94
"2017-01-16T00:00:00Z",0,0,37.04,19.04
"2017-01-17T00:00:00Z",0.118110236220472,0,39.92,23
"2017-01-18T00:00:00Z",3.50393700787402,0,46.04,32
"2017-01-19T00:00:00Z",6.61417322834646,0,44.96,35.06
"2017-01-20T00:00:00Z",6.69291338582677,0.31496062992126,39.92,32
"2017-01-21T00:00:00Z",0,0,44.96,24.98
"2017-01-22T00:00:00Z",0,0,48.02,30.92
"2017-01-23T00:00:00Z",5.98425196850394,1.81102362204724,44.96,32
"2017-01-24T00:00:00Z",0,0,33.08,21.02
"2017-01-25T00:00:00Z",0,0,33.98,15.98
"2017-01-26T00:00:00Z",0.511811023622047,0.78740157480315,42.98,26.96
"2017-01-27T00:00:00Z",0,0,42.98,24.98
"2017-01-28T00:00:00Z",0,0,42.08,24.08
"2017-01-29T00:00:00Z",0,0,44.96,24.98
"2017-01-30T00:00:00Z",0,0,44.96,24.98
"2017-01-31T00:00:00Z",0,0,42.98,26.06
